@RELATION   'derisi0.names : -C 58 '
@ATTRIBUTE root					{0,1}
@ATTRIBUTE GO0003674					{0,1}
@ATTRIBUTE GO0005575					{0,1}
@ATTRIBUTE GO0008150					{0,1}
@ATTRIBUTE GO0003824					{0,1}
@ATTRIBUTE GO0005215					{0,1}
@ATTRIBUTE GO0005488					{0,1}
@ATTRIBUTE GO0032991					{0,1}
@ATTRIBUTE GO0043226					{0,1}
@ATTRIBUTE GO0044422					{0,1}
@ATTRIBUTE GO0044464					{0,1}
@ATTRIBUTE GO0008152					{0,1}
@ATTRIBUTE GO0009987					{0,1}
@ATTRIBUTE GO0050896					{0,1}
@ATTRIBUTE GO0051234					{0,1}
@ATTRIBUTE GO0065007					{0,1}
@ATTRIBUTE GO0016740					{0,1}
@ATTRIBUTE GO0016787					{0,1}
@ATTRIBUTE GO0003676					{0,1}
@ATTRIBUTE GO0005515					{0,1}
@ATTRIBUTE GO0043234					{0,1}
@ATTRIBUTE GO0043227					{0,1}
@ATTRIBUTE GO0043229					{0,1}
@ATTRIBUTE GO0044446					{0,1}
@ATTRIBUTE GO0016020					{0,1}
@ATTRIBUTE GO0044424					{0,1}
@ATTRIBUTE GO0044425					{0,1}
@ATTRIBUTE GO0009058					{0,1}
@ATTRIBUTE GO0043170					{0,1}
@ATTRIBUTE GO0044237					{0,1}
@ATTRIBUTE GO0044238					{0,1}
@ATTRIBUTE GO0016043					{0,1}
@ATTRIBUTE GO0006950					{0,1}
@ATTRIBUTE GO0006810					{0,1}
@ATTRIBUTE GO0051649					{0,1}
@ATTRIBUTE GO0050789					{0,1}
@ATTRIBUTE GO0043231					{0,1}
@ATTRIBUTE GO0044428					{0,1}
@ATTRIBUTE GO0005737					{0,1}
@ATTRIBUTE GO0044444					{0,1}
@ATTRIBUTE GO0019538					{0,1}
@ATTRIBUTE GO0043283					{0,1}
@ATTRIBUTE GO0044260					{0,1}
@ATTRIBUTE GO0006139					{0,1}
@ATTRIBUTE GO0006996					{0,1}
@ATTRIBUTE GO0046907					{0,1}
@ATTRIBUTE GO0019222					{0,1}
@ATTRIBUTE GO0050794					{0,1}
@ATTRIBUTE GO0005634					{0,1}
@ATTRIBUTE GO0005739					{0,1}
@ATTRIBUTE GO0044267					{0,1}
@ATTRIBUTE GO0006259					{0,1}
@ATTRIBUTE GO0016070					{0,1}
@ATTRIBUTE GO0043412					{0,1}
@ATTRIBUTE GO0051276					{0,1}
@ATTRIBUTE GO0031323					{0,1}
@ATTRIBUTE GO0006464					{0,1}
@ATTRIBUTE GO0007001					{0,1}
@ATTRIBUTE  g1                                      numeric
@ATTRIBUTE  g1_bkg                                  numeric
@ATTRIBUTE  r1                                      numeric
@ATTRIBUTE  r1_bkg                                  numeric
@ATTRIBUTE  f1                                      numeric
@ATTRIBUTE  g2                                      numeric
@ATTRIBUTE  g2_bkg                                  numeric
@ATTRIBUTE  r2                                      numeric
@ATTRIBUTE  r2_bkg                                  numeric
@ATTRIBUTE  f2                                      numeric
@ATTRIBUTE  g3                                      numeric
@ATTRIBUTE  g3_bkg                                  numeric
@ATTRIBUTE  r3                                      numeric
@ATTRIBUTE  r3_bkg                                  numeric
@ATTRIBUTE  f3                                      numeric
@ATTRIBUTE  g4                                      numeric
@ATTRIBUTE  g4_bkg                                  numeric
@ATTRIBUTE  r4                                      numeric
@ATTRIBUTE  r4_bkg                                  numeric
@ATTRIBUTE  f4                                      numeric
@ATTRIBUTE  g5                                      numeric
@ATTRIBUTE  g5_bkg                                  numeric
@ATTRIBUTE  r5                                      numeric
@ATTRIBUTE  r5_bkg                                  numeric
@ATTRIBUTE  f5                                      numeric
@ATTRIBUTE  g6                                      numeric
@ATTRIBUTE  g6_bkg                                  numeric
@ATTRIBUTE  r6                                      numeric
@ATTRIBUTE  r6_bkg                                  numeric
@ATTRIBUTE  f6                                      numeric
@ATTRIBUTE  g7                                      numeric
@ATTRIBUTE  g7_bkg                                  numeric
@ATTRIBUTE  r7                                      numeric
@ATTRIBUTE  r7_bkg                                  numeric
@ATTRIBUTE  f7                                      numeric
@ATTRIBUTE  g1_ratio                                numeric
@ATTRIBUTE  g2_ratio                                numeric
@ATTRIBUTE  g3_ratio                                numeric
@ATTRIBUTE  g4_ratio                                numeric
@ATTRIBUTE  g5_ratio                                numeric
@ATTRIBUTE  g6_ratio                                numeric
@ATTRIBUTE  g7_ratio                                numeric
@ATTRIBUTE  r1_ratio                                numeric
@ATTRIBUTE  r2_ratio                                numeric
@ATTRIBUTE  r3_ratio                                numeric
@ATTRIBUTE  r4_ratio                                numeric
@ATTRIBUTE  r5_ratio                                numeric
@ATTRIBUTE  r6_ratio                                numeric
@ATTRIBUTE  r7_ratio                                numeric
@ATTRIBUTE  g1dashbkg                               numeric
@ATTRIBUTE  g2dashbkg                               numeric
@ATTRIBUTE  g3dashbkg                               numeric
@ATTRIBUTE  g4dashbkg                               numeric
@ATTRIBUTE  g5dashbkg                               numeric
@ATTRIBUTE  g6dashbkg                               numeric
@ATTRIBUTE  g7dashbkg                               numeric
@ATTRIBUTE  r1dashbkg                               numeric
@ATTRIBUTE  r2dashbkg                               numeric
@ATTRIBUTE  r3dashbkg                               numeric
@ATTRIBUTE  r4dashbkg                               numeric
@ATTRIBUTE  r5dashbkg                               numeric
@ATTRIBUTE  r6dashbkg                               numeric
@ATTRIBUTE  r7dashbkg                               numeric


@DATA
1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8432,2404,7896,1155,0,7173,2561,7484,1984,0,11736,1598,14679,1323,0,16798,1506,14617,1171,0,12315,1696,9853,914,0,16111,2667,7599,2445,0,13931,1244,6490,981,0,0.89,0.84,0.76,1.14,1.19,2.61,2.3,1.12,1.19,1.32,0.88,0.84,0.38,0.43,6028,4612,10138,15292,10619,13444,12687,6741,5500,13356,13446,8939,5154,5509
1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11509,2148,12144,1074,0,10226,2527,11177,1694,0,13372,1641,10241,1243,0,6500,1196,4820,876,0,6255,1553,4950,1211,0,9024,2569,7047,2444,0,6904,848,17035,742,0,0.85,0.81,1.3,1.34,1.26,1.4,0.37,1.18,1.23,0.77,0.75,0.79,0.71,2.7,9361,7699,11731,5304,4702,6455,6056,11070,9483,8998,3944,3739,4603,16293
1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,5865,2422,4478,1140,0,5895,2496,6435,1950,0,5345,1902,6230,1649,0,6302,1501,6848,1183,0,5400,1644,5111,898,0,7933,2808,7180,2637,0,5026,1154,4497,927,0,1.03,0.76,0.75,0.85,0.89,1.13,1.08,0.97,1.32,1.33,1.18,1.12,0.88,0.93,3443,3399,3443,4801,3756,5125,3872,3338,4485,4581,5665,4213,4543,3570
1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,4784,2456,3528,1242,0,3970,2663,2688,1656,0,4739,2183,4797,1739,0,3734,1590,2995,1094,0,3456,1733,2398,1019,0,4180,2597,3279,1759,0,2735,1164,1395,772,0,1.02,1.27,0.84,1.13,1.25,1.04,2.52,0.98,0.79,1.19,0.88,0.8,0.96,0.4,2328,1307,2556,2144,1723,1583,1571,2286,1032,3058,1901,1379,1520,623
1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,3762,2105,2809,1135,0,3689,2270,2777,1326,0,3587,1631,3722,1368,0,2315,1207,1819,879,0,2635,1556,2202,1189,0,2934,2156,2384,1612,0,6724,964,7809,781,0,0.99,0.98,0.83,1.18,1.07,1.01,0.82,1.01,1.02,1.2,0.85,0.93,0.99,1.22,1657,1419,1956,1108,1079,778,5760,1674,1451,2354,940,1013,772,7028
1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9698,2097,8988,965,0,8569,2456,9520,1735,0,13133,1511,13624,1193,0,6707,1087,5842,787,0,7364,1627,6637,1145,0,9635,2590,8628,2368,0,7939,1174,6015,1117,0,0.95,0.79,0.93,1.11,1.04,1.13,1.38,1.05,1.27,1.08,0.9,0.96,0.88,0.72,7601,6113,11622,5620,5737,7045,6765,8023,7785,12431,5055,5492,6260,4898
1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,3610,1916,2625,987,0,4148,2389,3448,1498,0,3577,1600,3003,1249,0,1838,1018,1277,759,0,3193,1476,2223,1063,0,3939,2494,3447,2148,0,2177,1002,1793,847,0,1.03,0.9,1.13,1.58,1.48,1.11,1.24,0.97,1.11,0.88,0.63,0.68,0.9,0.81,1694,1759,1977,820,1717,1445,1175,1638,1950,1754,518,1160,1299,946
1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,2621,1923,1376,963,0,3325,2433,2479,1748,0,2554,1673,2161,1335,0,1356,987,921,698,0,2472,1508,1696,1081,0,3140,2468,3041,2264,0,1156,830,949,647,0,1.69,1.22,1.07,1.65,1.57,0.86,1.08,0.59,0.82,0.93,0.61,0.64,1.16,0.93,698,892,881,369,964,672,326,413,731,826,223,615,777,302
1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,5942,2477,5137,1285,0,5545,3015,4628,1947,0,7445,2161,7548,1698,0,5631,1613,4970,1137,0,4147,1610,3318,1057,0,5119,2710,5207,1944,0,4467,1240,3948,900,0,0.9,0.94,0.9,1.05,1.12,0.74,1.06,1.11,1.06,1.11,0.95,0.89,1.35,0.94,3465,2530,5284,4018,2537,2409,3227,3852,2681,5850,3833,2261,3263,3048
1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,5592,1957,4617,1047,0,5808,2252,4589,1378,0,3844,1355,3381,980,0,3127,1131,2176,741,0,4227,1708,3288,1382,0,5077,2155,3012,1578,0,3513,849,2261,674,0,1.02,1.11,1.04,1.39,1.32,2.04,1.68,0.98,0.9,0.96,0.72,0.76,0.49,0.6,3635,3556,2489,1996,2519,2922,2664,3570,3211,2401,1435,1906,1434,1587
